"gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Mrpl15","NK_cells",-0.144,5.86,0.352,0.564,0.733,0.724,"WB","Compartment","muscat_edgeR"
"Lypla1","NK_cells",-0.0809,5.84,0.101,0.756,0.862,0.859,"WB","Compartment","muscat_edgeR"
"Tcea1","NK_cells",0.235,7,1.69,0.219,0.418,0.404,"WB","Compartment","muscat_edgeR"
"Atp6v1h","NK_cells",0.211,6,0.831,0.381,0.581,0.569,"WB","Compartment","muscat_edgeR"
"Rb1cc1","NK_cells",0.331,7.36,3.95,0.0712,0.211,0.203,"WB","Compartment","muscat_edgeR"
"Pcmtd1","NK_cells",-0.00899,6.96,0.00248,0.961,0.979,0.98,"WB","Compartment","muscat_edgeR"
"Rrs1","NK_cells",-0.438,5.24,2.32,0.155,0.34,0.326,"WB","Compartment","muscat_edgeR"
"Vcpip1","NK_cells",-0.125,6.6,0.348,0.567,0.734,0.725,"WB","Compartment","muscat_edgeR"
"Sgk3","NK_cells",-1.48,4.4,16.1,0.00189,0.0227,0.0283,"WB","Compartment","muscat_edgeR"
"Cops5","NK_cells",0.386,5.7,2.37,0.151,0.334,0.321,"WB","Compartment","muscat_edgeR"
"Cspp1","NK_cells",-0.218,5.76,0.778,0.396,0.594,0.582,"WB","Compartment","muscat_edgeR"
"Arfgef1","NK_cells",-0.449,7.46,4.64,0.0531,0.177,0.17,"WB","Compartment","muscat_edgeR"
"Ncoa2","NK_cells",-0.342,7.95,5.38,0.0396,0.148,0.143,"WB","Compartment","muscat_edgeR"
"Tram1","NK_cells",0.651,8.23,19.1,0.000989,0.0153,0.0205,"WB","Compartment","muscat_edgeR"
"Lactb2","NK_cells",-0.13,5.16,0.221,0.647,0.79,0.785,"WB","Compartment","muscat_edgeR"
"Eya1","NK_cells",0.379,6.37,2.38,0.15,0.333,0.32,"WB","Compartment","muscat_edgeR"
"Terf1","NK_cells",-0.153,6.12,0.293,0.598,0.757,0.748,"WB","Compartment","muscat_edgeR"
"Rpl7","NK_cells",-0.152,10.2,1.36,0.268,0.472,0.458,"WB","Compartment","muscat_edgeR"
"Ube2w","NK_cells",-0.566,5.91,7.2,0.0205,0.0998,0.0984,"WB","Compartment","muscat_edgeR"
"Eloc","NK_cells",0.38,6.56,2.56,0.137,0.314,0.303,"WB","Compartment","muscat_edgeR"
