"gene","cluster_id","baseMean","logFC","lfcSE","stat","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Mrpl15","NK_cells",34.5,-0.153,0.353,-0.433,0.665,0.866,0.86,"WB","Compartment","muscat_DESeq2"
"Lypla1","NK_cells",33.6,-0.0883,0.364,-0.243,0.808,0.928,0.929,"WB","Compartment","muscat_DESeq2"
"Tcea1","NK_cells",74,0.233,0.253,0.918,0.359,0.673,0.658,"WB","Compartment","muscat_DESeq2"
"Atp6v1h","NK_cells",35.6,0.216,0.345,0.626,0.531,0.794,0.781,"WB","Compartment","muscat_DESeq2"
"Rb1cc1","NK_cells",94.6,0.329,0.231,1.43,0.154,0.446,0.429,"WB","Compartment","muscat_DESeq2"
"Pcmtd1","NK_cells",73.4,-0.0117,0.254,-0.0463,0.963,0.987,0.987,"WB","Compartment","muscat_DESeq2"
"Rrs1","NK_cells",23.2,-0.433,0.418,-1.03,0.301,0.619,0.604,"WB","Compartment","muscat_DESeq2"
"Vcpip1","NK_cells",57.1,-0.123,0.293,-0.419,0.675,0.87,0.865,"WB","Compartment","muscat_DESeq2"
"Sgk3","NK_cells",15.4,-1.5,0.491,-3.07,0.00216,0.0263,0.0253,"WB","Compartment","muscat_DESeq2"
"Cops5","NK_cells",28.3,0.387,0.385,1.01,0.315,0.631,0.618,"WB","Compartment","muscat_DESeq2"
"Cspp1","NK_cells",32.5,-0.231,0.361,-0.641,0.522,0.787,0.775,"WB","Compartment","muscat_DESeq2"
"Arfgef1","NK_cells",106,-0.452,0.262,-1.72,0.0849,0.32,0.304,"WB","Compartment","muscat_DESeq2"
"Ncoa2","NK_cells",148,-0.345,0.191,-1.81,0.0705,0.287,0.271,"WB","Compartment","muscat_DESeq2"
"Tram1","NK_cells",172,0.65,0.193,3.37,0.000761,0.0115,0.0116,"WB","Compartment","muscat_DESeq2"
"Lactb2","NK_cells",20.4,-0.123,0.429,-0.287,0.774,0.915,0.913,"WB","Compartment","muscat_DESeq2"
"Eya1","NK_cells",46.1,0.378,0.334,1.13,0.257,0.575,0.557,"WB","Compartment","muscat_DESeq2"
"Terf1","NK_cells",41.3,-0.16,0.368,-0.435,0.664,0.865,0.86,"WB","Compartment","muscat_DESeq2"
"Rpl7","NK_cells",712,-0.154,0.136,-1.14,0.256,0.575,0.556,"WB","Compartment","muscat_DESeq2"
"Ube2w","NK_cells",37.2,-0.568,0.323,-1.76,0.0789,0.306,0.291,"WB","Compartment","muscat_DESeq2"
"Eloc","NK_cells",53,0.374,0.326,1.15,0.252,0.57,0.552,"WB","Compartment","muscat_DESeq2"
"Mcm3","NK_cells",41.9,-0.69,0.312,-2.21,0.0269,0.158,0.151,"WB","Compartment","muscat_DESeq2"
